,word,in English,trans
0,لا,No,לא
1,من,From,מנ
2,هذا,This,هדא
3,أن,That,أנ
4,في,In,פי
5,أنا,I,أנא
6,على,On,עלى
7,ما,What,מא
8,هل,Are,هל
9,يا,O,יא
10,و,And,ו
11,لقد,I,לקد
12,ذلك,That,דלכ
13,ماذا,Why,מאדא
14,أنت,You,أנת
15,هنا,Here,هנא
16,لم,Not,למ
17,إلى,To,إלى
18,نعم,Yes,נעמ
19,كان,Was,כאנ
20,هو,Is,هו
21,ان,That,אנ
22,هذه,This,هדه
23,هناك,There,هנאכ
24,عن,More,ענ
25,فى,In,פى
26,كل,Each,כל
27,فقط,Only,פקט
28,ليس,Not,ליש
29,كنت,I,כנת
30,الآن,Now,אלآנ
31,يجب,Must,יجب
32,انا,I,אנא
33,لك,You,לכ
34,مع,With,מע
35,شيء,Something,שיء
36,لكن,But,לכנ
37,الذي,Which,אלדי
38,لن,Not,לנ
39,حسنا,Well,חשנא
40,سوف,Will,שופ
41,كيف,How,כיפ
42,هيا,Come,هיא
43,نحن,We,נחנ
44,إنه,It,إנه
45,أجل,For,أجל
46,لماذا,Why,למאדא
47,إذا,If,إדא
48,عندما,When,ענدמא
49,انه,He,אנه
50,لي,Me,לי
51,كذلك,As well as,כדלכ
52,الى,To,אלى
53,انت,You,אנת
54,بعد,After,بעد
55,هي,Are,هי
56,أين,Where,أינ
57,أنه,That,أנه
58,كانت,The,כאנת
59,أي,Any,أי
60,حتى,Even,חתى
61,إنها,It,إנهא
62,أعرف,I know,أערפ
63,تلك,Those,תלכ
64,قبل,Before,קبל
65,قد,May,קد
66,الأمر,It,אלأמר
67,بعض,Some,بעצ
68,أو,Or,أו
69,مثل,Such as,מתל
70,أريد,I want,أריد
71,رجل,Man,רجל
72,أعتقد,I think,أעתקد
73,لو,If,לו
74,ربما,Probably,רبמא
75,بخير,Okay,بחיר
76,أيها,O,أיهא
77,يكون,Be,יכונ
78,جيد,Good,جיد
79,عليك,You,עליכ
80,شخص,Person,שחצ
81,أنك,You,أנכ
82,إن,The,إנ
83,التي,Which,אלתי
84,به,By,به
85,علي,Ali,עלי
86,ولكن,But,ולכנ
87,أليس,Alice,أליש
88,أحد,A,أחد
89,الوقت,Time,אלוקת
90,انها,It,אנهא
91,يمكن,Can,ימכנ
92,اليوم,Today,אליומ
93,تعرف,Learn,תערפ
94,تريد,Want,תריد
95,صحيح,Correct,צחיח
96,تكون,Be,תכונ
97,أكثر,More,أכתר
98,لست,I'm not,לשת
99,أستطيع,I,أשתטיע
100,كما,As,כמא
101,شئ,Anything,שئ
102,منذ,Since,מנד
103,لذا,So,לדא
104,واحد,One,ואחد
105,جدا,Very,جدא
106,يمكنك,You can,ימכנכ
107,لديك,You have,לدיכ
108,الرجل,Man,אלרجל
109,يبدو,Seems,יبدו
110,كلا,Both,כלא
111,لدي,I have,לدי
112,أوه,Oh,أוه
113,تفعل,Do,תפעל
114,سيدي,Sir,שיدי
115,غير,Is,עיר
116,مرة,Once,מרة
117,عليه,It,עליه
118,اذا,If,אדא
119,حدث,Event,חدת
120,آخر,Last,آחר
121,شكرا,Thank you,שכרא
122,لدينا,We have,לدינא
123,يوجد,There,יוجد
124,أعلم,I know,أעלמ
125,مكان,Place,מכאנ
126,الناس,People,אלנאש
127,له,His,לه
128,سيكون,Will be,שיכונ
129,رائع,Wonderful,ראئע
130,مرحبا,Hello,מרחبא
131,آسف,Sorry,آשפ
132,وقت,Time,וקת
133,سيد,Mr.,שיد
134,اللعنة,Damn,אללענة
135,بهذا,This,بهדא
136,كم,How,כמ
137,أفضل,Best,أפצל
138,ليست,Not,לישת
139,بها,By,بهא
140,أنها,They,أנهא
141,معك,You,מעכ
142,الكثير,A lot,אלכתיר
143,قلت,I,קלת
144,بك,Your,بכ
145,الان,Now,אלאנ
146,الذى,Which,אלדى
147,يحدث,Happens,יחدת
148,يوم,Day,יומ
149,يكن,Not,יכנ
150,وأنا,I,וأנא
151,بي,Me,بי
152,واحدة,One,ואחدة
153,بأن,That,بأנ
154,ولا,Nor,ולא
155,يمكنني,I,ימכנני
156,هم,They,هמ
157,أخرى,Other,أחרى
158,علينا,We,עלינא
159,أبي,Dad,أبי
160,تعال,Come,תעאל
161,ثم,Then,תמ
162,هكذا,Thus,هכדא
163,بذلك,So,بדלכ
164,المكان,Location,אלמכאנ
165,ألا,Not,أלא
166,بالطبع,Of course,بאלטبע
167,أنني,I,أנני
168,معي,Me,מעי
169,شىء,Something,שىء
170,لهذا,For this,לهדא
171,إلهي,God,إלهי
172,ها,Ha,هא
173,انك,You,אנכ
174,تستطيع,You may,תשתטיע
175,الحقيقة,The truth,אלחקיקة
176,العمل,Work,אלעמל
177,الليلة,Tonight,אללילة
178,العالم,World,אלעאלמ
179,تعلم,Learn,תעלמ
180,بالتأكيد,Certainly,بאלתأכיد
181,حقا,Really,חקא
182,الطريق,Road,אלטריק
183,الأن,Now,אלأנ
184,أمي,Mom,أמי
185,حال,Case,חאל
186,حول,About,חול
187,لها,Her,לهא
188,فعل,Reaction,פעל
189,توقف,Stop,תוקפ
190,هؤلاء,These,هؤלאء
191,عمل,Work,עמל
192,اعتقد,I think,אעתקد
193,انظر,See,אנטר
194,خلال,Through,חלאל
195,لى,Li,לى
196,لنا,Us,לנא
197,منك,You,מנכ
198,فعلت,I did,פעלת
199,الجحيم,Hell,אלجחימ
200,أفعل,I do,أפעל
201,قال,Said,קאל
202,السيد,Mr.,אלשיد
203,لأن,Because,לأנ
204,فيه,Where,פיه
205,جيدة,Good,جיدة
206,اين,Where,אינ
207,الجميع,Everyone,אלجמיע
208,تم,Was,תמ
209,عنه,Him,ענه
210,بما,Including,بמא
211,أى,Any,أى
212,إذن,Permission,إדנ
213,تقول,Says,תקול
214,لذلك,Therefore,לדלכ
215,بشكل,More,بשכל
216,ايها,O,איهא
217,لديه,Has,לدיه
218,ثانية,Seconds,תאניة
219,الذهاب,Go,אלדهאب
220,هى,Is,هى
221,دعنا,Let,دענא
222,اريد,I want,אריد
223,تعتقد,Think,תעתקد
224,أكون,I,أכונ
225,أذهب,Go,أדهب
226,المال,Money,אלמאל
227,متى,When,מתى
228,يمكننا,We can,ימכננא
229,عليها,It,עליهא
230,لكي,So,לכי
231,فضلك,Please,פצלכ
232,ستكون,Will be,שתכונ
233,بدون,Without,بدונ
234,اي,Any,אי
235,لكم,You,לכמ
236,بحق,Right,بחק
237,أرجوك,Please,أרجוכ
238,نذهب,Go,נדهب
239,نفسك,Yourself,נפשכ
240,a,a,a
241,وأنت,And you,וأנת
242,المنزل,Home,אלמנזל
243,شيئا,Something,שיئא
244,أرى,I see,أרى
245,كنا,We,כנא
246,إنهم,They,إנهמ
247,نفس,The same,נפש
248,اذهب,Go,אדهب
249,عند,At,ענد
250,مجرد,Just,מجרد
251,بين,Between,بינ
252,حيث,Where,חית
253,منه,It,מנه
254,أقول,Say,أקול
255,أم,Or,أמ
256,بنا,Us,بנא
257,تحت,Under,תחת
258,اعرف,Know,אערפ
259,التى,Which,אלתى
260,الأشياء,Things,אלأשיאء
261,معه,With,מעه
262,تبدو,Look,תبدו
263,الحياة,Life,אלחיאة
264,انتظر,Wait,אנתטר
265,لما,What,למא
266,شيئ,Something,שיئ
267,يريد,Wants,יריد
268,أننا,We,أננא
269,ثلاثة,Three,תלאתة
270,إلي,To,إלי
271,أنظر,See,أנטר
272,حصلت,I got,חצלת
273,فكرة,Idea,פכרة
274,الباب,Door,אלبאب
275,com,com,com
276,أني,I,أני
277,الرجال,Men,אלרجאל
278,الشيء,Thing,אלשיء
